GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dao,hr.algebra.uploads,DropboxStorageAdapter,26,46,1,1,7,15,2,3,1,3
Dao,hr.algebra.uploads,DropboxFetch,47,44,2,0,11,10,3,3,2,3
Dao,hr.algebra.mediator,AdFormMediator,0,101,3,13,0,25,3,7,0,2
Dao,hr.algebra.builder,AdBuilder,0,77,0,0,0,26,0,8,0,8
Dao,hr.algebra.observer,NewAdNotifier,0,40,0,2,0,11,0,6,0,5
Dao,hr.algebra.dal.sql,SqlRepository,351,357,26,16,80,87,26,12,9,8
Dao,hr.algebra.dal.sql,DataSourceSingleton,3,54,1,1,2,17,1,3,0,3
Dao,hr.algebra.dal,RepositoryFactory,7,30,0,0,4,11,1,3,1,3
Dao,hr.algebra.sorting.strategy,AdSorter,0,20,0,2,0,6,0,4,0,3
Dao,hr.algebra.sorting.strategy,PriceSortingStrategy,0,9,0,0,0,3,0,2,0,2
Dao,hr.algebra.sorting.strategy,DateSortingStrategy,0,10,0,0,0,3,0,2,0,2
Dao,hr.algebra.strategy_pattern,EmailContactStr,0,10,0,0,0,3,0,2,0,2
Dao,hr.algebra.strategy_pattern,ContactService,0,20,0,2,0,7,0,3,0,2
Dao,hr.algebra.strategy_pattern,SmsContactStr,10,0,0,0,3,0,2,0,2,0
Dao,hr.algebra.strategy_pattern,MessageContactStr,0,10,0,0,0,3,0,2,0,2
Dao,hr.algebra.model,AdStringify,3,18,0,0,1,9,1,1,1,1
Dao,hr.algebra.model,AdDetails,0,69,0,0,0,19,0,10,0,10
Dao,hr.algebra.model,UserStringify,3,6,0,0,1,1,1,1,1,1
Dao,hr.algebra.model,Ad,0,99,0,0,0,39,0,20,0,20
Dao,hr.algebra.model,User,24,138,4,6,8,49,7,23,3,22
Dao,hr.algebra.model,AllAdsBasic,0,70,0,2,0,21,0,11,0,10
Dao,hr.algebra.model.ocp,Pear,18,0,0,0,5,0,3,0,3,0
Dao,hr.algebra.model.ocp,Banana,18,0,0,0,5,0,3,0,3,0
Dao,hr.algebra.model.ocp,FruitPriceDiffCalculator,18,0,4,0,4,0,4,0,2,0
Dao,hr.algebra.model.ocp,Apple,18,0,0,0,5,0,3,0,3,0
