GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookExchange,hr.pibookexchange.view,RegisterPanel.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
BookExchange,hr.pibookexchange.view,RegisterPanel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,AdDetailsForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,AdDetailsForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,AdDetailsForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,AdDetailsForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,HomePage,188,399,16,0,47,88,15,3,7,3
BookExchange,hr.pibookexchange.view,AdDetailsForm,939,0,10,0,199,0,15,0,10,0
BookExchange,hr.pibookexchange.view,MainFrame,177,0,4,0,42,0,6,0,4,0
BookExchange,hr.pibookexchange.view,LoginPanel,8,447,2,10,3,120,3,16,1,12
BookExchange,hr.pibookexchange.view,LoginPanel.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,LoginPanel.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
BookExchange,hr.pibookexchange.view,HomePage.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,HomePage.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,HomePage.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,HomePage.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,HomePage.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,HomePage.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
BookExchange,hr.pibookexchange.view,MainFrame.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange.view,RegisterPanel,41,992,2,18,14,240,15,32,13,24
BookExchange,hr.pibookexchange,CreateAdForm.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm.new DocumentListener() {...},33,0,0,0,7,0,4,0,4,0
BookExchange,hr.pibookexchange,ComboBoxPopulator,80,0,4,0,25,0,5,0,3,0
BookExchange,hr.pibookexchange,PiBookExchange,4,0,0,0,2,0,2,0,2,0
BookExchange,hr.pibookexchange,CreateAdForm,1115,0,20,0,250,0,19,0,9,0
